iter	Passed	Remaining
0	0	86
1	1	177
2	1	147
3	1	129
4	2	118
5	2	111
6	3	137
7	3	128
8	3	120
9	3	115
10	4	111
11	5	125
12	5	119
13	5	115
14	5	111
15	6	107
16	6	103
17	6	100
18	6	97
19	6	96
20	7	93
21	7	92
22	7	91
23	7	88
24	7	86
25	8	86
26	8	85
27	8	83
28	8	82
29	9	82
30	9	81
31	9	80
32	9	80
33	10	79
34	10	77
35	10	76
36	10	76
37	10	75
38	11	74
39	11	73
40	11	72
41	11	71
42	11	70
43	11	69
44	12	69
45	12	69
46	12	68
47	12	68
48	13	67
49	13	66
50	13	66
51	13	65
52	13	64
53	14	64
54	14	63
55	14	63
56	14	62
57	14	62
58	15	62
59	15	61
60	15	60
61	15	60
62	15	59
63	16	59
64	16	59
65	16	58
66	16	58
67	16	57
68	17	57
69	17	56
70	17	56
71	17	55
72	17	55
73	18	55
74	18	54
75	18	54
76	18	53
77	18	53
78	19	53
79	19	52
80	19	52
81	19	52
82	19	51
83	20	51
84	20	51
85	20	50
86	20	50
87	20	50
88	21	49
89	21	49
90	21	49
91	21	49
92	21	48
93	22	48
94	22	48
95	22	47
96	22	47
97	22	47
98	23	47
99	23	46
100	23	46
101	23	46
102	23	45
103	24	45
104	24	45
105	24	45
106	24	44
107	25	44
108	25	44
109	25	44
110	25	43
111	25	43
112	26	43
113	26	43
114	26	42
115	26	42
116	27	42
117	27	42
118	27	41
119	27	41
120	27	41
121	28	40
122	28	40
123	28	40
124	28	40
125	28	39
126	29	39
127	29	39
128	29	39
129	29	38
130	29	38
131	30	38
132	30	38
133	30	37
134	30	37
135	31	37
136	31	37
137	31	36
138	31	36
139	31	36
140	32	36
141	32	35
142	32	35
143	32	35
144	32	35
145	33	34
146	33	34
147	33	34
148	33	34
149	34	34
150	34	33
151	34	33
152	34	33
153	34	33
154	35	32
155	35	32
156	35	32
157	35	32
158	35	31
159	36	31
160	36	31
161	36	31
162	36	31
163	37	30
164	37	30
165	37	30
166	37	30
167	37	29
168	38	29
169	38	29
170	38	29
171	38	28
172	39	28
173	39	28
174	39	28
175	39	28
176	39	27
177	40	27
178	40	27
179	40	27
180	40	26
181	41	26
182	41	26
183	41	26
184	41	25
185	41	25
186	42	25
187	42	25
188	42	24
189	42	24
190	42	24
191	43	24
192	43	23
193	43	23
194	43	23
195	43	23
196	43	22
197	44	22
198	44	22
199	44	22
200	44	22
201	44	21
202	45	21
203	45	21
204	45	21
205	45	20
206	45	20
207	46	20
208	46	20
209	46	19
210	46	19
211	46	19
212	47	19
213	47	19
214	47	18
215	47	18
216	48	18
217	48	18
218	48	17
219	48	17
220	48	17
221	49	17
222	49	17
223	49	16
224	49	16
225	49	16
226	50	16
227	50	15
228	50	15
229	50	15
230	50	15
231	51	14
232	51	14
233	51	14
234	51	14
235	51	14
236	52	13
237	52	13
238	52	13
239	52	13
240	52	12
241	53	12
242	53	12
243	53	12
244	53	12
245	54	11
246	54	11
247	54	11
248	54	11
249	54	10
250	55	10
251	55	10
252	55	10
253	55	10
254	55	9
255	56	9
256	56	9
257	56	9
258	56	8
259	56	8
260	57	8
261	57	8
262	57	8
263	57	7
264	57	7
265	58	7
266	58	7
267	58	6
268	58	6
269	58	6
270	59	6
271	59	6
272	59	5
273	59	5
274	60	5
275	60	5
276	60	5
277	60	4
278	60	4
279	61	4
280	61	4
281	61	3
282	61	3
283	61	3
284	62	3
285	62	3
286	62	2
287	62	2
288	62	2
289	63	2
290	63	1
291	63	1
292	63	1
293	64	1
294	64	1
295	64	0
296	64	0
297	64	0
298	64	0
299	65	0
